# Log10(wave)  Resid
 3.6197000 0.998124
 3.6198000 0.999083
 3.6199000 0.999700
 3.6200000 0.994304
 3.6201000 0.994569
 3.6202000 0.998591
 3.6203000 0.995013
 3.6204000 0.996766
 3.6205000 0.996759
 3.6206000 0.991002
 3.6207000 0.993290
 3.6208000 0.991789
 3.6209000 0.985615
 3.6210000 0.986942
 3.6211000 0.993546
 3.6212000 0.991388
 3.6213000 0.993349
 3.6214000 0.995068
 3.6215000 0.992404
 3.6216000 0.990161
 3.6217000 0.990986
 3.6218000 0.990591
 3.6219000 0.990683
 3.6220000 0.991894
 3.6221000 0.991955
 3.6222000 0.989685
 3.6223000 0.995205
 3.6224000 0.991405
 3.6225000 0.991895
 3.6226000 0.993278
 3.6227000 0.994059
 3.6228000 0.990279
 3.6229000 0.990144
 3.6230000 0.991162
 3.6231000 0.991516
 3.6232000 0.991708
 3.6233000 0.989535
 3.6234000 0.992922
 3.6235000 0.989488
 3.6236000 0.992476
 3.6237000 0.991513
 3.6238000 0.998474
 3.6239000 1.00020
 3.6240000 0.995607
 3.6241000 0.997700
 3.6242000 0.999784
 3.6243000 0.998555
 3.6244000 0.999146
 3.6245000 1.00268
 3.6246000 1.00177
 3.6247000 1.00245
 3.6248000 1.00097
 3.6249000 0.999555
 3.6250000 1.00021
 3.6251000 1.00015
 3.6252000 0.999896
 3.6253000 0.998868
 3.6254000 0.998736
 3.6255000 0.996382
 3.6256000 0.995530
 3.6257000 0.998407
 3.6258000 0.994386
 3.6259000 0.995410
 3.6260000 0.992933
 3.6261000 0.992256
 3.6262000 0.995746
 3.6263000 0.994739
 3.6264000 0.995526
 3.6265000 0.998482
 3.6266000 0.995841
 3.6267000 0.994279
 3.6268000 0.997768
 3.6269000 0.999081
 3.6270000 0.997518
 3.6271000 0.995929
 3.6272000 0.997396
 3.6273000 0.999771
 3.6274000 0.999915
 3.6275000 0.997959
 3.6276000 1.00153
 3.6277000 0.996250
 3.6278000 0.995722
 3.6279000 0.999521
 3.6280000 0.993763
 3.6281000 0.995142
 3.6282000 0.995234
 3.6283000 0.991704
 3.6284000 0.994906
 3.6285000 0.994034
 3.6286000 0.993973
 3.6287000 0.992764
 3.6288000 0.993148
 3.6289000 0.996143
 3.6290000 0.992719
 3.6291000 0.995074
 3.6292000 0.995647
 3.6293000 0.993180
 3.6294000 0.993008
 3.6295000 0.992908
 3.6296000 0.995536
 3.6297000 0.997322
 3.6298000 0.998196
 3.6299000 0.997451
 3.6300000 0.998060
 3.6301000 0.996674
 3.6302000 1.00246
 3.6303000 1.00449
 3.6304000 1.00096
 3.6305000 0.999433
 3.6306000 0.998715
 3.6307000 1.00040
 3.6308000 1.00352
 3.6309000 1.00545
 3.6310000 1.00048
 3.6311000 1.00314
 3.6312000 1.00247
 3.6313000 1.00293
 3.6314000 1.00041
 3.6315000 0.999845
 3.6316000 1.00373
 3.6317000 1.00275
 3.6318000 1.00222
 3.6319000 1.00095
 3.6320000 1.00281
 3.6321000 1.00299
 3.6322000 0.998546
 3.6323000 1.00351
 3.6324000 1.00278
 3.6325000 1.00055
 3.6326000 1.00278
 3.6327000 1.00383
 3.6328000 1.00502
 3.6329000 1.00536
 3.6330000 1.00578
 3.6331000 1.00726
 3.6332000 1.00834
 3.6333000 1.00838
 3.6334000 1.00877
 3.6335000 1.00484
 3.6336000 1.01032
 3.6337000 1.01412
 3.6338000 1.00688
 3.6339000 1.00511
 3.6340000 1.01065
 3.6341000 1.01288
 3.6342000 1.00884
 3.6343000 1.01170
 3.6344000 1.01048
 3.6345000 1.01181
 3.6346000 1.01146
 3.6347000 1.01320
 3.6348000 1.01459
 3.6349000 1.01705
 3.6350000 1.01444
 3.6351000 1.01713
 3.6352000 1.01686
 3.6353000 1.01889
 3.6354000 1.01922
 3.6355000 1.01901
 3.6356000 1.02054
 3.6357000 1.02262
 3.6358000 1.02237
 3.6359000 1.02139
 3.6360000 1.02108
 3.6361000 1.02561
 3.6362000 1.02684
 3.6363000 1.02356
 3.6364000 1.02587
 3.6365000 1.02599
 3.6366000 1.02672
 3.6367000 1.02498
 3.6368000 1.02550
 3.6369000 1.03023
 3.6370000 1.02599
 3.6371000 1.02792
 3.6372000 1.03058
 3.6373000 1.02796
 3.6374000 1.02748
 3.6375000 1.02918
 3.6376000 1.02685
 3.6377000 1.02801
 3.6378000 1.02759
 3.6379000 1.03135
 3.6380000 1.02980
 3.6381000 1.02739
 3.6382000 1.02712
 3.6383000 1.02386
 3.6384000 1.02710
 3.6385000 1.02673
 3.6386000 1.02839
 3.6387000 1.02690
 3.6388000 1.02371
 3.6389000 1.02453
 3.6390000 1.02479
 3.6391000 1.02545
 3.6392000 1.02350
 3.6393000 1.02257
 3.6394000 1.02143
 3.6395000 1.01674
 3.6396000 1.01660
 3.6397000 1.02066
 3.6398000 1.02182
 3.6399000 1.02037
 3.6400000 1.02018
 3.6401000 1.01698
 3.6402000 1.01421
 3.6403000 1.01486
 3.6404000 1.01479
 3.6405000 1.01404
 3.6406000 1.01240
 3.6407000 1.01441
 3.6408000 1.01327
 3.6409000 1.01120
 3.6410000 1.01132
 3.6411000 1.00967
 3.6412000 1.00761
 3.6413000 1.00932
 3.6414000 1.00859
 3.6415000 1.00889
 3.6416000 1.00726
 3.6417000 1.00667
 3.6418000 1.00811
 3.6419000 1.00584
 3.6420000 1.00539
 3.6421000 1.00685
 3.6422000 1.00616
 3.6423000 1.00302
 3.6424000 1.00328
 3.6425000 1.00313
 3.6426000 1.00323
 3.6427000 1.00563
 3.6428000 1.00432
 3.6429000 1.00492
 3.6430000 1.00512
 3.6431000 1.00273
 3.6432000 1.00354
 3.6433000 1.00640
 3.6434000 1.00380
 3.6435000 1.00233
 3.6436000 1.00366
 3.6437000 1.00176
 3.6438000 1.00383
 3.6439000 1.00324
 3.6440000 0.999449
 3.6441000 0.998846
 3.6442000 1.00090
 3.6443000 1.00044
 3.6444000 1.00266
 3.6445000 1.00322
 3.6446000 0.999805
 3.6447000 1.00061
 3.6448000 1.00063
 3.6449000 0.999406
 3.6450000 0.999237
 3.6451000 0.999799
 3.6452000 1.00226
 3.6453000 1.00332
 3.6454000 1.00242
